@relation Badges

@attribute stumpResult=0 {1,0}
@attribute stumpResult=1 {1,0}
@attribute stumpResult=2 {1,0}
@attribute stumpResult=3 {1,0}
@attribute stumpResult=4 {1,0}
@attribute stumpResult=5 {1,0}
@attribute stumpResult=6 {1,0}
@attribute stumpResult=7 {1,0}
@attribute stumpResult=8 {1,0}
@attribute stumpResult=9 {1,0}
@attribute stumpResult=10 {1,0}
@attribute stumpResult=11 {1,0}
@attribute stumpResult=12 {1,0}
@attribute stumpResult=13 {1,0}
@attribute stumpResult=14 {1,0}
@attribute stumpResult=15 {1,0}
@attribute stumpResult=16 {1,0}
@attribute stumpResult=17 {1,0}
@attribute stumpResult=18 {1,0}
@attribute stumpResult=19 {1,0}
@attribute stumpResult=20 {1,0}
@attribute stumpResult=21 {1,0}
@attribute stumpResult=22 {1,0}
@attribute stumpResult=23 {1,0}
@attribute stumpResult=24 {1,0}
@attribute stumpResult=25 {1,0}
@attribute stumpResult=26 {1,0}
@attribute stumpResult=27 {1,0}
@attribute stumpResult=28 {1,0}
@attribute stumpResult=29 {1,0}
@attribute stumpResult=30 {1,0}
@attribute stumpResult=31 {1,0}
@attribute stumpResult=32 {1,0}
@attribute stumpResult=33 {1,0}
@attribute stumpResult=34 {1,0}
@attribute stumpResult=35 {1,0}
@attribute stumpResult=36 {1,0}
@attribute stumpResult=37 {1,0}
@attribute stumpResult=38 {1,0}
@attribute stumpResult=39 {1,0}
@attribute stumpResult=40 {1,0}
@attribute stumpResult=41 {1,0}
@attribute stumpResult=42 {1,0}
@attribute stumpResult=43 {1,0}
@attribute stumpResult=44 {1,0}
@attribute stumpResult=45 {1,0}
@attribute stumpResult=46 {1,0}
@attribute stumpResult=47 {1,0}
@attribute stumpResult=48 {1,0}
@attribute stumpResult=49 {1,0}
@attribute stumpResult=50 {1,0}
@attribute stumpResult=51 {1,0}
@attribute stumpResult=52 {1,0}
@attribute stumpResult=53 {1,0}
@attribute stumpResult=54 {1,0}
@attribute stumpResult=55 {1,0}
@attribute stumpResult=56 {1,0}
@attribute stumpResult=57 {1,0}
@attribute stumpResult=58 {1,0}
@attribute stumpResult=59 {1,0}
@attribute stumpResult=60 {1,0}
@attribute stumpResult=61 {1,0}
@attribute stumpResult=62 {1,0}
@attribute stumpResult=63 {1,0}
@attribute stumpResult=64 {1,0}
@attribute stumpResult=65 {1,0}
@attribute stumpResult=66 {1,0}
@attribute stumpResult=67 {1,0}
@attribute stumpResult=68 {1,0}
@attribute stumpResult=69 {1,0}
@attribute stumpResult=70 {1,0}
@attribute stumpResult=71 {1,0}
@attribute stumpResult=72 {1,0}
@attribute stumpResult=73 {1,0}
@attribute stumpResult=74 {1,0}
@attribute stumpResult=75 {1,0}
@attribute stumpResult=76 {1,0}
@attribute stumpResult=77 {1,0}
@attribute stumpResult=78 {1,0}
@attribute stumpResult=79 {1,0}
@attribute stumpResult=80 {1,0}
@attribute stumpResult=81 {1,0}
@attribute stumpResult=82 {1,0}
@attribute stumpResult=83 {1,0}
@attribute stumpResult=84 {1,0}
@attribute stumpResult=85 {1,0}
@attribute stumpResult=86 {1,0}
@attribute stumpResult=87 {1,0}
@attribute stumpResult=88 {1,0}
@attribute stumpResult=89 {1,0}
@attribute stumpResult=90 {1,0}
@attribute stumpResult=91 {1,0}
@attribute stumpResult=92 {1,0}
@attribute stumpResult=93 {1,0}
@attribute stumpResult=94 {1,0}
@attribute stumpResult=95 {1,0}
@attribute stumpResult=96 {1,0}
@attribute stumpResult=97 {1,0}
@attribute stumpResult=98 {1,0}
@attribute stumpResult=99 {1,0}
@attribute Class {+,-}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
