*********** Data Set 1 ***********

*********** 1 components, 0.1 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.375

LDA, the training accuracy is: 0.428125
LDA, the test accuracy is: 0.4625

QDA, the training accuracy is: 0.425
QDA, the test accuracy is: 0.45

KNN, the training accuracy is: 0.54375
KNN, the test accuracy is: 0.475

SVM with rbf kernel, the training accuracy is: 0.559375
SVM with rbf kernel, the test accuracy is: 0.4625

SVM with linear kernel, the training accuracy is: 0.41875
SVM with linear kernel, the training accuracy is: 0.4375

*********** 1 components, 0.2 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.375

LDA, the training accuracy is: 0.428125
LDA, the test accuracy is: 0.4625

QDA, the training accuracy is: 0.425
QDA, the test accuracy is: 0.45

KNN, the training accuracy is: 0.54375
KNN, the test accuracy is: 0.475

SVM with rbf kernel, the training accuracy is: 0.559375
SVM with rbf kernel, the test accuracy is: 0.4625

SVM with linear kernel, the training accuracy is: 0.41875
SVM with linear kernel, the training accuracy is: 0.4375

*********** 1 components, 0.3 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.375

LDA, the training accuracy is: 0.428125
LDA, the test accuracy is: 0.4625

QDA, the training accuracy is: 0.425
QDA, the test accuracy is: 0.45

KNN, the training accuracy is: 0.54375
KNN, the test accuracy is: 0.475

SVM with rbf kernel, the training accuracy is: 0.559375
SVM with rbf kernel, the test accuracy is: 0.4625

SVM with linear kernel, the training accuracy is: 0.41875
SVM with linear kernel, the training accuracy is: 0.4375

*********** 2 components, 0.4 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.4125

LDA, the training accuracy is: 0.421875
LDA, the test accuracy is: 0.4625

QDA, the training accuracy is: 0.425
QDA, the test accuracy is: 0.45

KNN, the training accuracy is: 0.54375
KNN, the test accuracy is: 0.4

SVM with rbf kernel, the training accuracy is: 0.88125
SVM with rbf kernel, the test accuracy is: 0.2875

SVM with linear kernel, the training accuracy is: 0.4125
SVM with linear kernel, the training accuracy is: 0.4375

*********** 4 components, 0.5 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.4125

LDA, the training accuracy is: 0.440625
LDA, the test accuracy is: 0.4375

QDA, the training accuracy is: 0.465625
QDA, the test accuracy is: 0.45

KNN, the training accuracy is: 0.471875
KNN, the test accuracy is: 0.4375

SVM with rbf kernel, the training accuracy is: 0.996875
SVM with rbf kernel, the test accuracy is: 0.275

SVM with linear kernel, the training accuracy is: 0.446875
SVM with linear kernel, the training accuracy is: 0.4375

*********** 6 components, 0.6 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.375

LDA, the training accuracy is: 0.4875
LDA, the test accuracy is: 0.4625

QDA, the training accuracy is: 0.49375
QDA, the test accuracy is: 0.475

KNN, the training accuracy is: 0.5
KNN, the test accuracy is: 0.475

SVM with rbf kernel, the training accuracy is: 1.0
SVM with rbf kernel, the test accuracy is: 0.275

SVM with linear kernel, the training accuracy is: 0.465625
SVM with linear kernel, the training accuracy is: 0.475

*********** 11 components, 0.7 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.6625

LDA, the training accuracy is: 0.815625
LDA, the test accuracy is: 0.8625

QDA, the training accuracy is: 0.86875
QDA, the test accuracy is: 0.8375

KNN, the training accuracy is: 0.753125
KNN, the test accuracy is: 0.725

SVM with rbf kernel, the training accuracy is: 1.0
SVM with rbf kernel, the test accuracy is: 0.325

SVM with linear kernel, the training accuracy is: 0.84375
SVM with linear kernel, the training accuracy is: 0.8375

*********** 22 components, 0.8 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.6875

LDA, the training accuracy is: 0.875
LDA, the test accuracy is: 0.925

QDA, the training accuracy is: 0.925
QDA, the test accuracy is: 0.9

KNN, the training accuracy is: 0.70625
KNN, the test accuracy is: 0.7375

SVM with rbf kernel, the training accuracy is: 1.0
SVM with rbf kernel, the test accuracy is: 0.325

SVM with linear kernel, the training accuracy is: 0.95
SVM with linear kernel, the training accuracy is: 0.8625

*********** 53 components, 0.9 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.6875

LDA, the training accuracy is: 0.953125
LDA, the test accuracy is: 0.9375

QDA, the training accuracy is: 0.99375
QDA, the test accuracy is: 0.8

KNN, the training accuracy is: 0.675
KNN, the test accuracy is: 0.7625

SVM with rbf kernel, the training accuracy is: 1.0
SVM with rbf kernel, the test accuracy is: 0.5375

SVM with linear kernel, the training accuracy is: 1.0
SVM with linear kernel, the training accuracy is: 0.8625

*********** 99 components, 0.95 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.675

LDA, the training accuracy is: 0.9875
LDA, the test accuracy is: 0.95

QDA, the training accuracy is: 1.0
QDA, the test accuracy is: 0.425

KNN, the training accuracy is: 0.70625
KNN, the test accuracy is: 0.7375

SVM with rbf kernel, the training accuracy is: 1.0
SVM with rbf kernel, the test accuracy is: 0.675

SVM with linear kernel, the training accuracy is: 1.0
SVM with linear kernel, the training accuracy is: 0.8875

*********** Data Set 2 ***********

*********** 1 components, 0.1 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.3875

LDA, the training accuracy is: 0.4375
LDA, the test accuracy is: 0.425

QDA, the training accuracy is: 0.425
QDA, the test accuracy is: 0.425

KNN, the training accuracy is: 0.584375
KNN, the test accuracy is: 0.425

SVM with rbf kernel, the training accuracy is: 0.559375
SVM with rbf kernel, the test accuracy is: 0.4875

SVM with linear kernel, the training accuracy is: 0.4125
SVM with linear kernel, the training accuracy is: 0.425

*********** 1 components, 0.2 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.3875

LDA, the training accuracy is: 0.4375
LDA, the test accuracy is: 0.425

QDA, the training accuracy is: 0.425
QDA, the test accuracy is: 0.425

KNN, the training accuracy is: 0.584375
KNN, the test accuracy is: 0.425

SVM with rbf kernel, the training accuracy is: 0.559375
SVM with rbf kernel, the test accuracy is: 0.4875

SVM with linear kernel, the training accuracy is: 0.4125
SVM with linear kernel, the training accuracy is: 0.425

*********** 1 components, 0.3 ratio ***********
