*********** Data Set 1 ***********

*********** 1 components, 0.1 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.4375

LDA, the training accuracy is: 0.5375
LDA, the test accuracy is: 0.55

QDA, the training accuracy is: 0.5375
QDA, the test accuracy is: 0.55

KNN, the training accuracy is: 0.65
KNN, the test accuracy is: 0.6

SVM with rbf kernel, the training accuracy is: 0.60625
SVM with rbf kernel, the test accuracy is: 0.5625

SVM with linear kernel, the training accuracy is: 0.540625
SVM with linear kernel, the training accuracy is: 0.55

*********** 2 components, 0.2 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.5375

LDA, the training accuracy is: 0.5625
LDA, the test accuracy is: 0.6

QDA, the training accuracy is: 0.578125
QDA, the test accuracy is: 0.6125

KNN, the training accuracy is: 0.684375
KNN, the test accuracy is: 0.575

SVM with rbf kernel, the training accuracy is: 0.90625
SVM with rbf kernel, the test accuracy is: 0.5

SVM with linear kernel, the training accuracy is: 0.571875
SVM with linear kernel, the training accuracy is: 0.6125

*********** 3 components, 0.3 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.6

LDA, the training accuracy is: 0.7
LDA, the test accuracy is: 0.775

QDA, the training accuracy is: 0.69375
QDA, the test accuracy is: 0.7125

KNN, the training accuracy is: 0.73125
KNN, the test accuracy is: 0.725

SVM with rbf kernel, the training accuracy is: 0.990625
SVM with rbf kernel, the test accuracy is: 0.575

SVM with linear kernel, the training accuracy is: 0.70625
SVM with linear kernel, the training accuracy is: 0.7625

*********** 5 components, 0.4 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.675

LDA, the training accuracy is: 0.734375
LDA, the test accuracy is: 0.775

QDA, the training accuracy is: 0.76875
QDA, the test accuracy is: 0.725

KNN, the training accuracy is: 0.753125
KNN, the test accuracy is: 0.7

SVM with rbf kernel, the training accuracy is: 1.0
SVM with rbf kernel, the test accuracy is: 0.3875

SVM with linear kernel, the training accuracy is: 0.7625
SVM with linear kernel, the training accuracy is: 0.775

*********** 8 components, 0.5 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.6875

LDA, the training accuracy is: 0.8
LDA, the test accuracy is: 0.825

QDA, the training accuracy is: 0.85
QDA, the test accuracy is: 0.8

KNN, the training accuracy is: 0.859375
KNN, the test accuracy is: 0.6875

SVM with rbf kernel, the training accuracy is: 1.0
SVM with rbf kernel, the test accuracy is: 0.4

SVM with linear kernel, the training accuracy is: 0.8375
SVM with linear kernel, the training accuracy is: 0.8375

*********** 12 components, 0.6 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.6875

LDA, the training accuracy is: 0.8125
LDA, the test accuracy is: 0.8375

QDA, the training accuracy is: 0.890625
QDA, the test accuracy is: 0.7375

KNN, the training accuracy is: 0.828125
KNN, the test accuracy is: 0.7625

SVM with rbf kernel, the training accuracy is: 1.0
SVM with rbf kernel, the test accuracy is: 0.3

SVM with linear kernel, the training accuracy is: 0.871875
SVM with linear kernel, the training accuracy is: 0.875

*********** 19 components, 0.7 ratio ***********

Decision Tree, the training accuracy is: 1.0
Decision Tree, the test accuracy is: 0.6625

LDA, the training accuracy is: 0.859375
LDA, the test accuracy is: 0.85

QDA, the training accuracy is: 0.959375
QDA, the test accuracy is: 0.8

KNN, the training accuracy is: 0.85
KNN, the test accuracy is: 0.775

SVM with rbf kernel, the training accuracy is: 1.0
SVM with rbf kernel, the test accuracy is: 0.45

